"NO_MUNICIPIO","NO_ENTIDADE","TP_DEPENDENCIA","IN_INTERNET"
"Recife","ESCOLA MUNICIPAL PASTOR JOSE MUNGUBA SOBRINHO",3,1
"Recife","ESCOLA MUNICIPAL JARDIM UCHOA",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR JULIO DE OLIVEIRA",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR JOAO FRANCISCO DE SOUZA",3,1
"Recife","ESCOLA MUNICIPAL ISAAC PEREIRA DA SILVA",3,1
"Recife","ESCOLA MUNICIPAL DEPUTADO EDSON CANTARELLI",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR ORLANDO PARAHYM",3,1
"Recife","ESCOLA MUNICIPAL NOVO MANGUE",3,1
"Recife","CRECHE MUNICIPAL PROFESSOR FRANCISCO DO AMARAL LOPES",3,1
"Recife","ESCOLA MUNICIPAL CORREGO DO EUCLIDES",3,1
"Recife","ESCOLA MUNICIPAL JOSE MUCIO MONTEIRO",3,1
"Recife","ESCOLA MUNICIPAL PARQUE DOS MILAGRES",3,1
"Recife","ESCOLA MUNICIPAL ALTO DO PASCOAL",3,1
"Recife","ESCOLA MUNICIPAL DE BEBERIBE",3,1
"Recife","ESCOLA MUNICIPAL CAMPINA DO BARRETO",3,1
"Recife","ESCOLA MUNICIPAL ENGENHEIRO EDINALDO MIRANDA DE OLIVEIRA",3,1
"Recife","ESCOLA MUNICIPAL DE AGUA FRIA",3,1
"Recife","ESCOLA MUNICIPAL DE CASA AMARELA",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR JOSE SOARES DA SILVA",3,1
"Recife","ESCOLA MUNICIPAL SERRA DA PRATA",3,1
"Recife","ESCOLA MUNICIPAL UR 05",3,1
"Recife","CRECHE MUNICIPAL CRECHE MUNICIPAL CHICO MENDES",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR JOSUE DE CASTRO",3,1
"Recife","ESCOLA MUNICIPAL DO BARRO",3,1
"Recife","ESCOLA MUNICIPAL DO PANTANAL",3,1
"Recife","ESCOLA MUNICIPAL DO SANCHO",3,1
"Recife","ESCOLA MUNICIPAL POETA JOAO CABRAL DE MELO NETO",3,1
"Recife","ESCOLA MUNICIPAL IBURA DE BAIXO",3,1
"Recife","ESCOLA MUNICIPAL ASA BRANCA",3,1
"Recife","ESCOLA MUNICIPAL DIACONO ABEL GUEIROS",3,1
"Recife","ESCOLA MUNICIPAL JARDIM MONTE VERDE",3,1
"Recife","ESCOLA MUNICIPAL MAESTRO NELSON FERREIRA",3,1
"Recife","ESCOLA MUNICIPAL SITIO DO BERARDO",3,1
"Recife","CRECHE MUNICIPAL SITIO GRANDE",3,1
"Recife","CRECHE MUNICIPAL ESPERANCA",3,1
"Recife","ESCOLA MUNICIPAL LADJANE BANDEIRA",3,1
"Recife","ESCOLA MUNICIPAL CHICO MENDES",3,1
"Recife","ESCOLA MUNICIPAL POETA CARLOS PENA FILHO",3,1
"Recife","CRECHE MUNICIPAL ARITANA",3,1
"Recife","CRECHE MUNICIPAL MONTE DAS OLIVEIRAS",3,1
"Recife","CRECHE MUNICIPAL NOSSA SENHORA DE FATIMA",3,1
"Recife","CRECHE MUNICIPAL SONHO DE CRIANCA",3,1
"Recife","ESCOLA MUNICIPAL ARTISTA PLASTICO CICERO DIAS",3,1
"Recife","ESCOLA MUNICIPAL CRECHE ESCOLA MUNICIPAL JOAO AMAZONAS",3,1
"Recife","ESCOLA MUNICIPAL JADER FIGUEIREDO DE ANDRADE SILVA",3,1
"Recife","ESCOLA MUNICIPAL DA GUABIRABA",3,1
"Recife","ESCOLA MUNICIPAL CARLUCIO DE SOUZA CASTANHA JUNIOR",3,1
"Recife","ESCOLA MUNICIPAL FREI TADEU GLASER",3,1
"Recife","ESCOLA MUNICIPAL PROFESSORA HELIA MARIA PEREIRA",3,1
"Recife","ESCOLA MUNICIPAL CECILIA MEIRELLES",3,1
"Recife","ESCOLA MUNICIPAL DEOCLECIANO OLIVEIRA DE LIMA",3,1
"Recife","ESCOLA MUNICIPAL PEDRO ALCANTARA",3,1
"Recife","ESCOLA MUNICIPAL MERCIA DE ALBUQUERQUE FERREIRA",3,1
"Recife","CMEI CELESTE VIDAL",3,1
"Recife","CRECHE MUNICIPAL VILA DOS MILAGRES",3,1
"Recife","ESCOLA MUNICIPAL GOVERNADOR MIGUEL ARRAES DE ALENCAR",3,1
"Recife","ESCOLA MUNICIPAL POETA SOLANO TRINDADE",3,1
"Recife","ESCOLA MUNICIPAL NOVA MORADA",3,1
"Recife","CRECHE MUNICIPAL ZILDA ARNS",3,1
"Recife","CRECHE MUNICIPAL VILA IMPERIAL",3,1
"Recife","CMEI ALCIDES RESTELLI TEDESCO",3,1
"Recife","CRECHE MUNICIPAL IRMA DULCE",3,1
"Recife","ESCOLA MUNICIPAL DONA LUCI SILVA LIMA",3,1
"Recife","CRECHE ESC RECIFE CMEI DARCY RIBEIRO",3,1
"Recife","CRECHE MUNICIPAL MERCIA MARIA BEZERRA COSTA",3,1
"Recife","CRECHE MUNICIPAL 08 DE MARCO",3,1
"Recife","CRECHE ESC RECIFE DONA CARMELITA MUNIZ DE ARAUJO",3,1
"Recife","CRECHE ESC RECIFE DO IRAQUE",3,1
"Recife","CRECHE ESC RECIFE CRECHE ESCOLA RECIFE GOVERNADOR MIGUEL ARRAES",3,1
"Recife","CRECHE ESC RECIFE GOVERNADOR EDUARDO CAMPOS",3,1
"Recife","CRECHE ESC RECIFE PRESIDENTE TANCREDO NEVES",3,1
"Recife","CRECHE MUNICIPAL ISABEL SILVANA DE MELO",3,1
"Recife","CRECHE ESC RECIFE CRECHE ESCOLA RECIFE MIGUEL ARRAES DE ALENCAR",3,1
"Recife","ESCOLA MUNICIPAL PAZ E AMOR",3,1
"Recife","CRECHE ESC RECIFE MAURICEIA DA SILVA DIAS",3,1
"Recife","CRECHE ESC RECIFE PROFESSOR ARIANO VILAR SUASSUNA",3,1
"Recife","CRECHE ESC RECIFE PORTO DIGITAL DO RECIFE",3,1
"Recife","ESCOLA MUNICIPAL CLARICE LISPECTOR",3,1
"Recife","CRECHE ESC RECIFE CRECHE ESCOLA RECIFE ALTO DO MANDU",3,1
"Recife","CRECHE ESC RECIFE MIGUEL ARRAES RODA DE FOGO",3,1
"Recife","CRECHE ESC RECIFE JOSE DE SOUZA FERRAZ",3,1
"Recife","CRECHE ESC RECIFE SERGIO LORETO",3,1
"Recife","CRECHE MUNICIPAL CRECHE CRISTO REI JORDAO ALTO",3,1
"Recife","CRECHE ESC RECIFE DO PILAR",3,1
"Recife","ESCOLA MUNICIPAL ESCOLA SANTA LUZIA",3,1
"Recife","CRECHE ESC RECIFE CRECHE ESCOLA RECIFE DA ESTANCIA",3,1
"Recife","CRECHE ESC RECIFE CRECHE ESCOLA DEPUTADO ALCIDES TEIXEIRA",3,1
"Recife","CRECHE ESC RECIFE SALETE MATIAS BORGES",3,1
"Recife","CRECHE ESC RECIFE MARIA LUZINETE DA COSTA",3,1
"Recife","CRECHE ESC RECIFE BREJO DO BEBERIBE",3,1
"Recife","CRECHE ESC RECIFE TIA MADALENA",3,1
"Recife","CRECHE ESC RECIFE CRECHE ESCOLA DA IMBIRIBEIRA",3,1
"Recife","CRECHE ESC RECIFE CRECHE ESCOLA DONA BERO",3,1
"Recife","CRECHE ESC RECIFE CRECHE ESCOLA IRMA CININHA",3,1
"Recife","CRECHE ESC RECIFE CRECHE ESCOLA DORGIANE DOS SANTOS XAVIER",3,1
"Recife","CRECHE MUNICIPAL CRECHE MUNICIPAL PEDRO JOSE MENDES FILHO",3,1
"Recife","ESCOLA MUNICIPAL ESCOLA MUNICIPAL DO IBURA",3,1
"Recife","ESCOLA MUNICIPAL DE SAO JOSE",3,1
"Recife","CRECHE MUNICIPAL CRECHE ENGENHEIRO SEBASTIAO BARRETO CAMPELLO",3,1
"Recife","CRECHE ESC RECIFE CRECHE DA MANGABEIRA",3,1
"Recife","CRECHE MUNICIPAL LAR SEM FRONTEIRAS",3,1
"Recife","CRECHE MUNICIPAL CRECHE ESCOLA MARIA MAGDALENA FIUZA ARRAES DE ALENCAR",3,1
"Recife","ESCOLA MUNICIPAL COMPOSITOR CAPIBA",3,1
"Recife","ESCOLA MUNICIPAL ROZEMAR DE MACEDO LIMA",3,1
"Recife","CMEI PROFESSOR PAULO ROSAS",3,1
"Recife","CMEI ESTRELA DA MANHA",3,1
"Recife","CRECHE MUNICIPAL LUA LUAR",3,1
"Recife","ESCOLA MUNICIPAL MILTON ALMEIDA DOS SANTOS",3,1
"Recife","ESCOLA MUNICIPAL CHICO SCIENCE",3,1
"Recife","CMEI COELHINHO PENSANTE",3,1
"Recife","CMEI DOUTOR ALBERICO DORNELAS CAMARA",3,1
"Recife","ESCOLA MUNICIPAL BOLA NA REDE",3,1
